a	aː
crustulum	krustulum
crustum	krustum
crustumeria	krustumeria
crustumerium	krustumerium
crustumius	krustumius
crux	kruks
cryos	kryos
crypta	krypta
crypton	krypton
cryptoporticus	kryptoportikus
crystalline	krystalline
crystallinus	krystallinus
crystallum	krystallum
crābrō	kraːbroː
crāmum	kraːmum
crānium	kraːnium
crāpula	kraːpula
crāpulentus	kraːpulentus
crāpulor	kraːpulor
crāpulātus	kraːpulaːtus
crāpulōsus	kraːpuloːsus
crās	kraːs
crāstinus	kraːstinus
crāthis	kraːtʰis
crāticulus	kraːtikulus
crātis	kraːtis
crātēr	kraːteːr
crātīcius	kraːtiːkius
crēber	kreːber
crēbra	kreːbra
crēbriter	kreːbriter
crēbritās	kreːbritaːs
crēbrē	kreːbreː
crēbrēscō	kreːbreːskoː
crēbēscō	kreːbeːskoː
crēderis	kreːderis
crēderis	kreːdeːris
crēdibilis	kreːdibilis
crēdibiliter	kreːdibiliter
crēdiderimus	kreːdiderimus
crēdiderimus	kreːdideriːmus
crēdideris	kreːdideris
crēdideris	kreːdideriːs
crēdideritis	kreːdideritis
crēdideritis	kreːdideriːtis
crēdidērunt	kreːdideːrunt
crēditis	kreːditis
crēditor	kreːditor
crēditrīx	kreːditriːks
crēditum	kreːditum
crēditus	kreːditus
crēditīs	kreːditiːs
crēdulitās	kreːdulitaːs
crēdulus	kreːdulus
crēdēbat	kreːdeːbat
crēdēns	kreːdens
crēdō	kreːdoː
crēmastē	kreːmasteː
crēmniscos	kreːmniskos
crēmnī	kreːmniː
crēnae	kreːnae̯
crēnulātus	kreːnulaːtus
crēnātus	kreːnaːtus
crēscentus	kreːskentus
crēscentēs	kreːskenteːs
crēscit	kreːskit
crēscite	kreːskite
crēscō	kreːskoː
crēstōn	kreːstoːn
crēstōnia	kreːstoːnia
crētes	kreːtes
crēthmos	kreːtʰmos
crētifodīna	kreːtifodiːna
crētiō	kreːtioː
crētāceus	kreːtaːkeus
crētānus	kreːtaːnus
crētātus	kreːtaːtus
crētōsus	kreːtoːsus
crībricollis	kriːbrikollis
crībrum	kriːbrum
crībrō	kriːbroː
crīmen	kriːmen
crīminor	kriːminor
crīminālis	kriːminaːlis
crīmināte	kriːminaːte
crīminātiō	kriːminaːtioː
crīminātor	kriːminaːtor
crīminō	kriːminoː
crīminōsus	kriːminoːsus
crīmīsus	kriːmiːsus
crīniger	kriːniger
crīnis	kriːnis
crīnālis	kriːnaːlis
crīnītus	kriːniːtus
crīsa	kriːsa
crīspus	kriːspus
crīspō	kriːspoː
crīsō	kriːsoː
crōbylos	kroːbylos
crōcītus	kroːkiːtus
crōmna	kroːmna
crōmī	kroːmiː
crūda	kruːda
crūda	kruːdaː
crūde	kruːde
crūditās	kruːditaːs
crūditātiō	kruːditaːtioː
crūdus	kruːdus
crūdās	kruːdaːs
crūdēle	kruːdeːle
crūdēlis	kruːdeːlis
crūdēliter	kruːdeːliter
crūdēlitās	kruːdeːlitaːs
crūdēlē	kruːdeːleː
crūdēscō	kruːdeːskoː
crūdī	kruːdiː
crūrālis	kruːraːlis
crūs	kruːs
crūsculum	kruːskulum
crūsma	kruːsma
ctimenē	ktimeneː
ctēsiās	kteːsiaːs
cuarius	kuarius
cuba	kuba
cuba	kuːba
cubicularius	kubikulaˈrius
cubiculum	kubikulum
cubiculāris	kubikulaːris
cubiculārius	kubikulaːrius
cubiculātus	kubikulaːtus
cubicus	kubikus
cubital	kubital
cubitus	kubit̪us
cubitālis	kubitaːlis
cubui	kubuːi
cubus	kubus
cubāns	kubans
cubēnsis	kubensis
cubīle	kubiːle
cuciō	kukioː
cucuma	kukuma
cucumerifōrme	kukumerifoːrme
cucumerifōrmis	kukumerifoːrmis
cucumerifōrmēs	kukumerifoːrmeːs
cucumerāceus	kukumeraːkeus
cucumerīnus	kukumeriːnus
cucumifōrme	kukumifoːrme
cucumifōrmis	kukumifoːrmis
cucumifōrmēs	kukumifoːrmeːs
cucumis	kukumis
cucumīs	kukumiːs
cucurbita	kukurbita
cucurrit	kukurrit
cucūlla	kukuːlla
cucūllus	kukuːllus
cucūllātus	kukuːllaːtus
cucūlus	kukuːlus
cuduntur	kuðuntur
cuferion	kuferion
cui	kui̯
cuidam	kuidam
cuius	kuus
cuiātem	kui̯i̯aːtem
cuiātis	kui̯i̯aːtis
cujuscemodī	kui̯i̯uskemodiː
cujusmodī	kui̯i̯usmodiː
culcitra	kulkitra
culex	kuleks
culillus	kulillus
culleō	kulleoː
culmen	kulmen
culmus	kulmus
culpa	kulpa
culpationis	kulpadionis
culpo	kulpɔ
culpābilis	kulpaːbilis
culpātiō	kulpaːtioː
culpō	kulpoː
cultellare	kultellˈare
cultellatus	kultellatos
cultello	kultˈɛllo
cultiō	kultioː
cultor	kultor
cultrārius	kultraːrius
cultrīx	kultriːks
cultura	kultuːra
cultūra	kultuːra
culullus	kulullus
culīna	kuliːna
culīnāria	kuliːnaːria
culīnāria	kuliːnaːriaː
culīnārie	kuliːnaːrie
culīnāris	kuliːnaːris
culīnārius	kuliːnaːrius
culīnāriās	kuliːnaːriaːs
culīnāriō	kuliːnaːrioː
culīnāriōs	kuliːnaːrioːs
culīnārī	kuliːnaːriː
cumba	kumba
cumba	kˌumbˌa
cumbae	kumbaj
cumera	kumera
cummi	kummi
cummis	kummis
cumque	kunkʷe
cumulus	kumulus
cumulō	kumuloː
cumānia	kumaːnia
cumīnum	kumiːnum
cuncta	kunktˈa
cunctamen	kunta˩˥ːmen
cunctationis	kunktatijunis
cuneifōrmis	kuneifoːrmis
cuneifōrmēs	kuneifoːrmeːs
cuneolus	kuneolus
cuneus	kuneus
cuneātim	kuneaːtim
cuneō	kuneoː
cunimundus	kunimundus
cuningeria	kuningeria
cuniō	kunioː
cunnilinctio	kunnelɪnktio
cunnilingus	kunnilingus
cunnus	konnus
cunīclus	kuniːklus
cunīculāriae	kuniːkulaːriae̯
cunīculōsus	kuniːkuloːsus
cupa	kˈupˌɐ
cupiam	kupiam
cupiditās	kupiditaːs
cupidus	kupidus
cupidus	kupiðus
cupidō	kupidoː
cupiemini	kupie̞mjni
cupiennius	kupiennius
cupiennius	kupiɛnnius
cupimus	kupemus
cupio	kupjo
cupiō	kupioː
cuppa	kuppa
cuppae	kuppae̯
cuppedia	kupːˈedia
cuppediorum	kupediorum
cuppēdia	kuppeːdia
cuppēdinārius	kuppeːdinaːrius
cuppēdō	kuppeːdoː
cuppēs	kuppeːs
cupra	kupra
cupressetum	kupresejtum
cupresseus	kupresseus
cupressifer	kupressifer
cupressinus	kupressinus
cupressus	kupressus
cupressētum	kupresseːtum
cuprum	kuprum
cupāvō	kupaːu̯oː
cupīdō	kupiːdoː
cura	kʊra
curacaoēnsis	kurasau̯ensis
curalium	kuralium
curate	kuˈrate
curationis	kuˈrationˈis
curcuba	kurkuba
curculiō	kurkulioː
curdicus	kurdikus
curia	kuːria
curiatius	kuriatius
curicta	kurikta
curidius	kuridius
curiga	kuriga
curiosus	kuriousus
curium	kurium
curius	kurius
curmiliaca	kurmiliaka
curriculum	kurrikulum
currus	kurrus
currīlis	kurriːlis
currō	kurroː
currūlis	kurruːlis
cursans	kursant
cursare	kursaˈre
cursitans	kursitaːns
cursitare	kursitˈare
cursitō	kursitoː
cursiō	kursioː
cursor	kursor
cursui	kursuj
cursuālis	kursuaːlis
cursārius	kursaːrius
cursōrius	kursoːrius
cursōrī	kursoːriː
curta	kurta
curta	kurtaː
curtare	kurtˈare
curtilius	kurtilius
curtius	kurtius
curtus	kurtus
curtō	kurtoː
curulis	kuˈruːlis
curunda	kurunda
curvatura	kurvatˈura
curvatus	kuroatus
curve	kuru̯e
curvidēns	kuru̯idens
curvilīneus	kuru̯iliːneus
curvipēs	kuru̯ipeːs
curvirōstris	kuru̯iroːstris
curvo	kuruo
curvus	kuru̯us
curvāmen	kuru̯aːmen
curvās	kuru̯aːs
curvī	kuru̯iː
curvōs	kuru̯oːs
curūlis	kuruːlis
cuscolium	kuskolium
cuspidare	kospidˈare
cuspidatus	kuspidaːtus
cuspidō	kuspidoː
cuspius	kuspius
custodia	kustˈodja
custodiae	kustodiaj
custodire	kustodˈire
custoditus	gusˈtˈodˈitˈus
cusus	kusus
cutiliae	kutiliae̯
cutis	kutis
cutucuēnsis	kutukuensis
cutīcula	kutiːkula
cuzcoēnsis	kuzkoensis
cyaneae	kyaneae̯
cyanellus	kyanellus
cyaneus	kianius
cyanopterus	kyanopterus
cyanē	kyaneː
cyathus	kyatus
cyathus	kyatʰus
cyaxarēs	kyaksareːs
cybaeus	kybae̯us
cybela	kɔybeˈa
cybindis	kybindis
cybistra	kybistra
cycladatus	kykladaˈtˈɔsˈ
cyclamen	kyklamen
cyclamīnos	kyklamiːnos
cyclas	kyklas
cyclicus	kyklikus
cycloborus	kykloborus
cyclus	kyklus
cyclōps	kykloːps
cydara	kydara
cydnus	kydnus
cygnus	kygnus
cyitis	kyitis
cylindricollis	kylindrikollis
cylindricus	kylindrikus
cylindricus	kylindrikːus
cylindrus	kylindrus
cyllēnē	kylleːneː
cymba	kymba
cymbium	kymbium
cymithārra	kymitʰaːrra
cymīnum	kymiːnum
cyna	kyna
cynaetha	kynae̯tʰa
cynanchē	kynankʰeː
cynanchēs	kynankʰeːs
cynanē	kynaneː
cynapsēs	kynapseːs
cynismus	kynismus
cynocephalus	kynokepʰalus
cynomāzon	kynomaːzzon
cynthia	kyntʰia
cynthius	kyntʰius
cynthus	kyntʰus
cynthus	kyntˈus
cynōps	kynoːps
cynūria	kynuːria
cyparissia	kyparissia
cyparissus	kyparissus
cypasis	kypasis
cyperus	kypɛːrus
cyphanta	kypʰanta
cypria	kupriːa
cyprinum	kyprinum
cyprius	kyprius
cyprus	kyprus
cyprus	tʃiprus
cyprīnum	kypriːnum
cypsela	kypsela
cypselus	kypselus
cyretiae	kyretiae̯
cyrrhus	kyrrus
cytae	kytae̯
cythnos	kytʰnos
cythēra	kytʰeːra
cytinium	kytinium
cytinus	kytinus
cytisus	kytisus
cytōrus	kytoːrus
cyzicēnus	kyzzikeːnus
cācabus	kaːkabus
cācabāceus	kaːkabaːkeus
cācabātus	kaːkabaːtus
cācus	kaːkus
cādūceus	kaːduːkeus
cādūceātor	kaːduːkeaːtor
cādūcifer	kaːduːkifer
cāia	gaːia
cāia	gaːi̯a
cāia	kaːia
cāia	kaːi̯a
cāius	gaːius
cāius	gaːi̯i̯us
cāius	kaːius
cāius	kaːi̯us
cāiātiō	kaːiaːtioː
cāla	kaːla
cālam	kaːlam
cālātia	kaːlaːtia
cālātīnus	kaːlaːtiːnus
cālīginōsus	kaːliːginoːsus
cālīgāte	kaːliːgaːte
cālīgātis	kaːliːgaːtis
cālīgātiō	kaːliːgaːtioː
cālīgātus	kaːliːgaːtus
cālīgātīs	kaːliːgaːtiːs
cālīgātō	kaːliːgaːtoː
cālīgō	kaːliːgoː
cālīgōsus	kaːliːgoːsus
cālō	kaːloː
cānaster	kaːnaster
cāneō	kaːneoː
cāniceps	kaːnikeps
cānidius	kaːnidius
cānius	kaːnius
cānus	kaːnus
cānēre	kaːneːre
cānēscō	kaːneːskoː
cānīs	kaːniːs
cānō	kaːnoː
cānōs	kaːnoːs
cānūtus	kaːnuːtus
cāpus	kaːpus
cārae	kaːrae̯
cārex	kaːreks
cārica	kaːrika
cārinō	kaːrinoː
cāris	kaːris
cāritās	kaːritaːs
cārus	kaːrus
cārīs	kaːriːs
cāsa	kaːsa
cāsa	kaːsaː
cāseus	kaːseus
cāseārius	kaːseaːrius
cāseī	kaːseiː
cāseīs	kaːseiːs
cāsibus	kaːsibus
cāsiārius	kaːsiaːrius
cāsum	kaːsum
cāsuum	kaːsuum
cāsuāle	kaːsuaːle
cāsuālis	kaːsuaːlis
cāsuālēs	kaːsuaːleːs
cāsuī	kaːsuiː
cāsābundus	kaːsaːbundus
cāsū	kaːsuː
cāsūrae	kasurai
cāsūrārum	kaːsʊˈrˈaːrum
cāvannus	kaːu̯annus
căvum	kaːvum
cē	keː
cēa	keːa
cēbuānus	keːbuaːnus
cēdam	keːdam
cēdar	keːdar
cēde	keːde
cēdendō	keːdendoː
cēderem	keːderem
cēderēs	keːdereːs
cēdis	keːdis
cēdor	keːdor
cēdās	kedas
cēdēs	keːdeːs
cēdī	keːdiː
cēlāre	keːlaːre
cēlātor	keːlaːtor
cēlō	keːloː
cēna	keːna
cēnitō	keːnitoː
cēnsennia	kensennia
cēnseō	kenseoː
cēnsor	kensor
cēnsus	kensus
cēnsēre	kenseːre
cēnsītiō	kensiːtioː
cēnsōrius	kensoːrius
cēnsōrēs	kensoːreːs
cēnsūra	kensuːra
cēnsūram	kensuːram
cēnsūre	kensuːre
cēnsūrus	kensuːrus
cēnsūrās	kensuːraːs
cēnsūrīs	kensuːriːs
cēnsūrō	kensuːroː
cēnsūrōs	kensuːroːs
cēnula	keːnula
cēnulentus	keːnulentus
cēnābant	kɛːnaːbant
cēnāculum	keːnaːkulum
cēnāculārius	keːnaːkulaːrius
cēnāculātus	keːnaːkulaːtus
cēnāticus	keːnaːtikus
cēnātiō	keːnaːtio
cēnāturiō	keːnaːturioː
cēnātōrius	keːnaːtoːrius
cēnō	keːnoː
cēpa	keːpa
cēpam	keːpam
cēpheus	keːpʰeus
cēphās	keːpʰaːs
cēphēius	keːpʰeːius
cēphēnes	keːpʰeːnes
cēphēus	keːpʰeːus
cēphīsus	keːpʰiːsus
cēpisse	kepisze
cēpācius	keːpaːkius
cēpī	keːpiː
cēpītis	keːpiːtis
cēra	keːra
cēreus	keːreus
cērimōnia	keːrimoːnia
cērintha	keːrintʰa
cērinthus	keːrintʰus
cērium	keːrium
cērula	keːrula
cērussa	keːrussa
cērussātus	keːrussaːtus
cērā	keːraː
cērāta	keːraːta
cērāta	keːraːtaː
cērāte	keːraːte
cērātō	keːraːtoː
cērītis	keːriːtis
cērō	keːroː
cērōma	keːroːma
cērōmaticus	keːroːmatikus
cērōsus	keːroːsus
cēterus	keːterus
cētius	keːtius
cētra	keːtra
cētus	keːtus
cētārius	keːtaːrius
cētī	keːtiː
cēveō	keːu̯eoː
cībalae	kiːbalae̯
cīccum	kiːkkum
cīdalārius	kiːdalaːrius
cīdelārius	kiːdelaːrius
cīdlārius	kiːdlaːrius
cīlō	kiːloː
cīmex	kiːmeks
cīmōn	kiːmoːn
cīncius	kiːnkius
cīnctōrium	kiːnktoːrium
cīnyps	kiːnyps
cīpus	kiːpus
cītreus	kiːtreus
cītrātus	kiːtraːtus
cītōte	kiːtoːte
cīvicus	kiːu̯ikus
cīvis	kiːu̯is
cīvitās	kiːu̯itaːs
cīvitātula	kiːu̯itaːtula
cīvīle	kiːu̯iːle
cīvīlis	kiːu̯iːlis
cīvīlista	kiːu̯iːlista
cīvīliter	kiːu̯iːliter
cīvīlitās	kiːu̯iːlitaːs
cīvīlēs	kiːu̯iːleːs
cīvīlī	kiːu̯iːliː
cōbaltīnus	koːbaltiːnus
cōbion	koːbion
cōciō	koːkioː
cōda	koːda
cōdex	koːdeks
cōdīa	koːdiːa
cōgitanda	koːgitanda
cōgitanda	koːgitandaː
cōgitandus	koːgitandus
cōgitābundus	koːgitaːbundus
cōgitāns	koːgitans
cōgitāta	koːgitaːta
cōgitāta	koːgitaːtaː
cōgitātis	koːgitaːtis
cōgitātiō	koːgitaːtioː
cōgitātus	koːgitaːtus
cōgitātīs	koːgitaːtiːs
cōgitātūra	koːgitaːtuːra
cōgitātūra	koːgitaːtuːraː
cōgitāverimus	koːgitaːu̯erimus
cōgitāverimus	koːgitaːu̯eriːmus
cōgitāveris	koːgitaːu̯eris
cōgitāveris	koːgitaːu̯eriːs
cōgitāveritis	koːgitaːu̯eritis
cōgitāveritis	koːgitaːu̯eriːtis
cōgitō	koːgitoː
cōgō	koːgoː
cōlentum	koːlentum
cōleus	koːleus
cōleātus	koːleaːtus
cōlobathra	kolobatʰra
cōlus	koːlus
cōlātum	koːlaːtum
cōlātūrus	koːlaːtuːrus
cōlī	koːliː
cōlō	koːloː
cōlȳphia	koːlyːpʰia
cōmacum	koːmakum
cōme	koːme
cōmem	koːmem
cōmendō	koːmendoː
cōmerem	koːmerem
cōmerēs	koːmereːs
cōmessābundus	koːmessaːbundus
cōmia	koːmia
cōmica	koːmika
cōmica	koːmikaː
cōmicus	koːmikus
cōmicī	koːmikiː
cōmicō	koːmikoː
cōmis	koːmis
cōmissor	koːmissor
cōmissābundus	koːmissaːbundus
cōmissātiō	koːmissaːtioː
cōmitō	koːmitoː
cōmoedia	koːmoe̯dia
cōmoedus	koːmoe̯dus
cōmptus	koːmptus
cōmum	koːmum
cōmī	koːmiː
cōmō	koːmoː
cōnectam	koːnektam
cōnectar	koːnektar
cōnecte	koːnekte
cōnectās	koːnektaːs
cōnectēs	koːnekteːs
cōnectō	koːnektoː
cōner	koːner
cōnexa	koːneksa
cōnexa	koːneksaː
cōnexiō	koːneksioː
cōnexum	koːneksum
cōnexī	koːneksiː
cōnexīs	koːneksiːs
cōnexō	koːneksoː
cōnexōrum	koːneksoːrum
cōnfactum	konfaktum
cōnfactus	konfaktus
cōnfarreātiō	konfarreaːtioː
cōnfarreō	konfarreoː
cōnfectiō	konfektioː
cōnfectiōnārius	konfektioːnaːrius
cōnfector	konfektor
cōnfectrīx	konfektriːks
cōnfectōrium	konfektoːrium
cōnfectōrārius	konfektoːraːrius
cōnfectūra	konfektuːra
cōnfectūrārius	konfektuːraːrius
cōnfederātiō	konfederaːtioː
cōnfer	konfer
cōnferciō	konferkioː
cōnfersus	konfersus
cōnfertifolius	konfertifolius
cōnferva	konferu̯a
cōnfervae	konferu̯ae̯
cōnferveō	konferu̯eoː
cōnfervās	konferu̯aːs
cōnfervēscō	konferu̯eːskoː
cōnferō	konferoː
cōnfessiō	konfessioː
cōnfessor	konfessor
cōnfestim	konfestim
cōnficiēns	konfikiens
cōnficiō	konfikioː
cōnfigūrat	konfiguːrat
cōnfigūrātiō	konfiguːraːtioː
cōnfigūrō	konfiguːroː
cōnfingō	konfingoː
cōnfirmandō	konfirmandoː
cōnfirmem	konfirmem
cōnfirmer	konfirmer
cōnfirmā	konfirma
cōnfirmārem	konfirmaːrem
cōnfirmārās	konfirmaːraːs
cōnfirmārēs	konfirmaːreːs
cōnfirmās	konfirmaːs
cōnfirmāsse	konfirmaːsse
cōnfirmāssem	konfirmaːssem
cōnfirmāssēs	konfirmaːsseːs
cōnfirmātiō	konfirmaːtioː
cōnfirmēs	konfirmeːs
cōnfirmō	konfirmoː
cōnfiscō	konfiskoː
cōnfiteor	konfiteor
cōnflagrant	konflagrant
cōnflagrāns	konflagrans
cōnflagrātiō	konflagraːtioː
cōnflagrō	konflagroː
cōnfluentia	konfluentia
cōnfluēns	konfluens
cōnfluō	konfluoː
cōnflāgēs	konflaːgeːs
cōnflātilis	konflaːtilis
cōnflīctiō	konfliːktioː
cōnflīctātiō	konfliːktaːtioː
cōnflīctō	konfliːktoː
cōnflīgātus	konfliːgaːtus
cōnflīgō	konfliːgoː
cōnflō	konfloː
cōnfodiō	konfodioː
cōnfoederandum	konfoe̯derandum
cōnfoederandus	konfoe̯derandus
cōnfoederātiō	konfoe̯deraːtioː
cōnfoederātus	konfoe̯deraːtus
cōnfoederō	konfoe̯deroː
cōnfortārēs	konfortaːreːs
cōnfortō	konfortoː
cōnforāneus	konforaːneus
cōnfoveō	konfou̯eoː
cōnfragōsus	konfragoːsus
cōnfremō	konfremoː
cōnfricō	konfrikoː
cōnfringō	konfringoː
cōnfrāctiō	konfraːktioː
cōnfugitum	konfugitum
cōnfugiō	konfugioː
cōnfulgeō	konfulgeoː
cōnfundēre	konfundere
cōnfundēre	konfundeːre
cōnfundō	konfundoː
cōnfutuō	konfutuoː
cōnfābulor	konfaːbulor
cōnfātālis	konfaːtaːlis
cōnfīdant	konfiːdant
cōnfīdentiloquus	konfiːdentilokʷus
cōnfīdō	konfiːdoː
cōnfīgō	konfiːgoː
cōnfīnis	konfiːnis
cōnfīnius	konfiːnius
cōnfīō	konfiːoː
cōnfōrmis	konfoːrmis
cōnfōrmitās	konfoːrmitaːs
cōnfōrmātiō	konfoːrmaːtioː
cōnfōrmō	konfoːrmoː
cōnfūcius	konfuːkius
cōnfūsiō	konfuːsioː
cōnfūsus	konfuːsus
cōnfūtātiō	konfuːtaːtioː
cōnfūtātor	konfuːtaːtor
cōnfūtō	konfuːtoː
cōnicus	konikus
cōnicus	koːnikus
cōnifer	koːnifer
cōniger	koːniger
cōnor	koːnor
cōnsabrum	konsabrum
cōnsacrō	konsakroː
cōnsaepiō	konsae̯pioː
cōnsalūtātiō	konsaluːtaːtioː
cōnsalūtō	konsaluːtoː
cōnsanguineus	konsangʷineus
cōnsanguinius	konsangʷinius
cōnsarcinō	konsarkinoː
cōnsarriō	konsarrioː
cōnsauciō	konsau̯kioː
cōnscelerō	konskeleroː
cōnscendō	konskendoː
cōnscientia	konskientia
cōnscientēs	konskienteːs
cōnscindō	konskindoː
cōnscissiō	konskissioː
cōnscius	konskius
cōnsciō	konskioː
cōnscreor	konskreor
cōnscrībillō	konskriːbilloː
cōnscrībō	konskriːboː
cōnscrīptiō	konskriːptioː
cōnscrīptor	konskriːptor
cōnscēnsiō	konskensioː
cōnscīscō	konskiːskoː
cōnsecrātiō	konsekraːtioː
cōnsecrātor	konsekraːtor
cōnsecrātrīx	konsekraːtriːks
cōnsecrō	konsekroː
cōnsector	konsektor
cōnsectāneus	konsektaːneus
cōnsectārius	konsektaːrius
cōnsectātor	konsektaːtor
cōnsecō	konsekoː
cōnsentia	konsentia
cōnsentius	konsentius
cōnsentiēns	konsentiens
cōnsentiō	konsentioː
cōnsentāneus	konsentaːneus
cōnsenēscō	konseneːskoː
cōnsepeliō	konsepelioː
cōnsequor	konsekʷor
cōnsequus	konsekʷus
cōnsequutiō	konsekʷutioː
cōnsermōnor	konsermoːnor
cōnserva	konseru̯a
cōnserver	konseru̯er
cōnservābilis	konseru̯aːbilis
cōnservātiō	konseru̯aːtioː
cōnservātor	konseru̯aːtor
cōnservātrīx	konseru̯aːtriːks
cōnservātīve	konseru̯aːtiːu̯e
cōnservātīvus	konseru̯aːtiːu̯us
cōnservō	konseru̯oː
cōnsessiō	konsessioː
cōnsidius	konsidius
cōnsignō	konsignoː
cōnsilior	konsilior
cōnsilium	konsilium
cōnsiliārius	konsiliaːrius
cōnsiliātor	konsiliaːtor
cōnsiliōsus	konsilioːsus
cōnsilēscō	konsileːskoː
cōnsilīnum	konsiliːnum
cōnsimilis	konsimilis
cōnsimilō	konsimiloː
cōnsipiō	konsipioː
cōnsistō	konsistoː
cōnsistōriānus	konsistoːriaːnus
cōnsobrīna	konsobriːna
cōnsobrīnus	konsobriːnus
cōnsocer	konsoker
cōnsocius	konsokius
cōnsociābilis	konsokiaːbilis
cōnsociātiō	konsokiaːtioː
cōnsociō	konsokioː
cōnsolida	konsolida
cōnsolidam	konsolidam
cōnsolidā	konsolidaː
cōnsolidās	konsolidaːs
cōnsolidātiō	konsolidaːtioː
cōnsolidātor	konsolidaːtor
cōnsolidīs	konsolidiːs
cōnsolidō	konsolidoː
cōnsonant	konsonant
cōnsonus	konsonus
cōnsonō	konsonoː
cōnsors	konsors
cōnsortiō	konsortioː
cōnspargō	konspargoː
cōnspectus	konspektus
cōnspergō	konspergoː
cōnspicillātus	konspikillaːtus
cōnspiciō	konspikioː
cōnspicor	konspikor
cōnspicua	konspikua
cōnspicua	konspikuaː
cōnspicuus	konspikuus
cōnspicuās	konspikuaːs
cōnspicuō	konspikuoː
cōnspicābundus	konspikaːbundus
cōnspondeō	konspondeoː
cōnspuimur	konspuimur
cōnspurcō	konspurkoː
cōnspuō	konspuoː
cōnspīrātiō	konspiːraːtioː
cōnspīrō	konspiːroː
cōnspōnsor	konsponsor
cōnstabiliō	konstabilioː
cōnstantia	konstantia
cōnstantiae	konstantiaj
cōnstantīnopolis	konstantiːnopolis
cōnstantīnopolītānus	konstantiːnopoliːtaːnus
cōnstantīnopolītānōrum	konstantinopolitanorum
cōnstantīnus	konstantiːnus
cōnsternante	konsternante
cōnstituent	konstituent
cōnstitum	konstitum
cōnstituō	konstituoː
cōnstitūtiō	konstituːtioː
cōnstitūtīve	konstituːtiːu̯e
cōnstitūtīvus	konstituːtiːu̯us
cōnstrictiō	konstriktioː
cōnstringō	konstringoː
cōnstruō	konstruoː
cōnstrūctiō	konstruːktioː
cōnstupeō	konstupeoː
cōnstuprō	konstuproː
cōnstāns	konstans
cōnstāte	konstaːte
cōnstātō	konstaːtoː
cōnstēllātiō	konsteːllaːtioː
cōnstīpō	konstiːpoː
cōnstō	konstoː
cōnsuantae	konsuantae̯
cōnsubstantiālis	konsubstantiaːlis
cōnsul	konsul
cōnsultam	konsultam
cōnsultandō	konsultandoː
cōnsultant	konsultant
cōnsultante	konsultante
cōnsultantēs	konsultanteːs
cōnsultem	konsultem
cōnsultum	konsultum
cōnsultus	konsultus
cōnsultā	konsultaː
cōnsultārem	konsultaːrem
cōnsultārās	konsultaːraːs
cōnsultārēs	konsultaːreːs
cōnsultās	konsultaːs
cōnsultāsse	konsultaːsse
cōnsultāssem	konsultaːssem
cōnsultāssēs	konsultaːsseːs
cōnsultātiō	konsultaːtioː
cōnsultē	konsulteː
cōnsultēs	konsulteːs
cōnsultōre	konsultoːre
cōnsulāris	konsulaːris
cōnsulāriter	konsulaːriter
cōnsulāritās	konsulaːritaːs
cōnsulārius	konsulaːrius
cōnsulātus	konsulaːtus
cōnsulō	konsuloː
cōnsummātiō	konsummaːtioː
cōnsummātor	konsummaːtor
cōnsummō	konsummoː
cōnsurgō	konsurgoː
cōnsurrēctiō	konsurreːktioː
cōnsuādeō	konsu̯aːdeoː
cōnsuēfaciō	konsueːfakioː
cōnsuēscō	konsu̯eːskoː
cōnsuētum	konsueːtum
cōnsuētūdō	konsu̯eːtuːdoː
cōnsuō	konsuoː
cōnsānēscō	konsaːneːskoː
cōnsānō	konsaːnoː
cōnsēmineus	konseːmineus
cōnsēminālis	konseːminaːlis
cōnsēnsus	konsensus
cōnsēpiō	konseːpioː
cōnsīderam	konsiːderam
cōnsīderandō	konsiːderandoː
cōnsīderantia	konsiːderantia
cōnsīderem	konsiːderem
cōnsīderā	konsiːderaː
cōnsīderābilis	konsiːderaːbilis
cōnsīderārem	konsiːderaːrem
cōnsīderārās	konsiːderaːraːs
cōnsīderārēs	konsiːderaːreːs
cōnsīderās	konsiːderaːs
cōnsīderāsse	konsiːderaːsse
cōnsīderāssem	konsiːderaːssem
cōnsīderāssēs	konsiːderaːsseːs
cōnsīderātus	konsiːderaːtus
cōnsīderēs	konsiːdereːs
cōnsīderō	konsiːderoː
cōnsīdēre	konsiːdere
cōnsīdēre	konsiːdeːre
cōnsīdō	konsiːdoː
cōnsōlor	konsoːlor
cōnsōlābilis	konsoːlaːbilis
cōnsōlāmen	konsoːlaːmen
cōnsōlātiō	konsoːlaːtioː
cōnsōlātor	konsoːlaːtor
cōnsōlātīvus	konsoːlaːtiːu̯us
cōnsōlātōrius	konsoːlaːtoːrius
cōnsōlātōrī	konsoːlaːtoːriː
cōnsōlō	konsoːloː
cōnsūmere	konsuːmere
cōnsūmere	konsuːmeːre
cōnsūmptor	konsuːmptor
cōnsūmō	konsuːmoː
cōnsūtus	konsuːtus
cōntiuncula	koːntiunkula
cōntiō	koːntioː
cōntiōnor	koːntioːnor
cōntiōnābundus	koːntioːnaːbundus
cōntiōnālis	koːntioːnaːlis
cōntiōnārius	koːntioːnaːrius
cōnus	koːnus
cōnābilis	koːnaːbilis
cōnāmen	koːnaːmen
cōnātiō	koːnaːtioː
cōnātō	koːnaːtoː
cōnītor	koːniːtor
cōnīum	koːniːum
cōnīventia	koːniːu̯entia
cōnīveō	koːniːu̯eoː
